"question","opt1","opt2","opt3","opt4","answer","explanation"
"Which sentence is punctuated correctly?","Well, I don't know.","Well I don't know","Well I dont know.","Well, I dont know.","Well, I don't know.","Comma after interjection 'Well' and contraction with apostrophe are correct."
"Pick the synonym for 'pristine'.","dirty","immaculate","spoiled","tarnished","immaculate","'Pristine' means immaculate or unspoiled."
"Choose the correct article: 'It was ___ unforgettable evening.'","a","an","the","no article","an","'Unforgettable' begins with vowel sound 'uh', so 'an' is correct."
"Which is the antonym of 'sparse'?","meager","scattered","dense","rare","dense","'Sparse' opposite is 'dense' (more crowded/thick)."
"Pick the correct tense: 'She ___ here for three hours by now.'","has been","had been","will be","is","has been","Present perfect continuous/ perfect used for duration up to now: 'has been' (context-dependent)."
"Select the right preposition: 'This book belongs ___ me.'","to","for","with","about","to","'Belongs to' indicates ownership."
"Which sentence is correct?","Neither answer is correct.","Neither answers are correct.","Neither of the answers are correct.","Neither of the answers is correct.","Neither of the answers is correct.","'Neither of the answers is correct' uses singular predicate."
"Pick the synonym for 'obscure'.","famous","hidden","clear","popular","hidden","'Obscure' means not well known or hidden."
"Choose the correct verb: 'By next month, I ___ the job.'","complete","will complete","will have completed","completed","will have completed","Future perfect: 'will have completed' shows completion before a future time."
"Which is the antonym of 'benevolent'?","kind","cruel","charitable","helpful","cruel","'Benevolent' opposite is 'cruel' or 'malevolent'."
"Pick the right preposition: 'She is notorious ___ being late.'","for","about","of","with","for","'Notorious for' is the fixed collocation."
"Select the synonym for 'laconic'.","wordy","brief","talkative","long-winded","brief","'Laconic' means using few words; synonym 'brief'."
"Which is the correct plural of 'appendix'?","appendixes","appendices","appendixs","appendix","appendices","Both 'appendices' and 'appendixes' are acceptable; 'appendices' is classical plural."
"Choose the correct article: '___ hour passed quickly.'","a","an","the","no article","an","'Hour' starts with vowel sound 'our', so use 'an'."
"Pick the antonym for 'tentative'.","hesitant","certain","uncertain","provisional","certain","'Tentative' means hesitant; antonym 'certain' means definite."
"Select the correct tense: 'She said she ___ seen him before.'","has","had","have","will have","had","Backshift in reported speech: 'had seen'."
"Which preposition completes: 'She is adept ___ problem solving.'","at","in","on","with","at","'Adept at' is the correct collocation."
"Pick the synonym for 'melancholy'.","happy","sadness","cheerful","ecstatic","sadness","'Melancholy' means sadness; closest synonym 'sadness' or 'sad'."
"Choose the correct verb form: 'If I ___ time, I would travel.'","have","had","will have","would have","had","Second conditional: use past form 'had' for hypothetical present."
"Which sentence uses correct punctuation?","He asked, \"Where are you?\"","He asked \"Where are you?\"","He asked where are you?","He asked where are you.","He asked, \"Where are you?\"","Comma before quoted question and proper quotes required."
"Pick the correct preposition: 'The cat jumped ___ the table.'","on","in","under","over","on","'Jumped on the table' is the natural phrase."
"Select the synonym for 'vehement'.","mild","fierce","gentle","timid","fierce","'Vehement' means forceful or intense — 'fierce' fits."
"Which is the correct comparative: 'far' -> ____","farther/further","more far","farer","most far","farther/further","Both 'farther' and 'further' are used; 'farther' often for physical distance."
"Choose the correct article: 'She is ___ university lecturer.'","a","an","the","no article","a","'University' begins with consonant 'y' sound, so 'a' is used."
"Pick the antonym for 'rigid'.","flexible","stiff","hard","firm","flexible","'Rigid' opposite is 'flexible'."
"Select correct tense: 'They ___ the match by the time we arrived.'","won","had won","have won","were winning","had won","Past perfect 'had won' shows earlier past completion."
"Which preposition completes: 'I am tired ___ waiting.'","of","for","about","with","of","'Tired of' (fed up) vs 'tired from' (physically exhausted); here 'tired of waiting' is idiomatic."
"Pick the synonym for 'erudite'.","educated","ignorant","unlearned","illiterate","educated","'Erudite' means well-educated or learned."
"Choose the correct sentence: 'Each of the players ___ responsible.'","are","is","were","be","is","'Each' is singular — 'is responsible.'"
"Select the antonym of 'ardent'.","passionate","indifferent","fervent","zealous","indifferent","'Ardent' = passionate; antonym 'indifferent'."
"Which is the correct usage: 'They insisted on ___ the meeting.'","postpone","postponing","postponed","to postpone","postponing","'Insisted on' + gerund: 'insisted on postponing.'"
"Pick the synonym for 'palpable'.","imperceptible","tangible","hidden","vague","tangible","'Palpable' means able to be felt — 'tangible'."
"Choose the correct preposition: 'He is engaged ___ a new project.'","on","in","to","with","in","'Engaged in' a project is correct."
"Which sentence is grammatical?","She and I is ready.","She and I are ready.","She and I am ready.","She and I be ready.","She and I are ready.","Compound subject 'She and I' takes plural verb 'are'."
"Pick the antonym for 'robust'.","strong","fragile","sturdy","healthy","fragile","'Robust' means strong; antonym 'fragile' means easily broken."
"Select the correct tense: 'When I called, they ___ dinner.'","eat","were eating","have eaten","will eat","were eating","Past continuous 'were eating' for ongoing past action."
"Choose the correct article: 'It was ___ honor to meet her.'","a","an","the","no article","an","'Honor' begins with silent 'h' and vowel sound 'on-', so 'an' is used."
"Pick the synonym for 'ambivalent'.","decided","uncertain","sure","clear","uncertain","'Ambivalent' means having mixed feelings or uncertainty."
"Which preposition fits: 'She divided the cake ___ pieces.'","into","in","to","by","into","'Divide into' is the correct collocation."
"Choose the correct plural: 'phenomenon' -> ____","phenomenons","phenomena","phenomenae","phenomenon","phenomena","Plural is 'phenomena'."
"Pick the antonym of 'gregarious'.","sociable","shy","friendly","outgoing","shy","'Gregarious' = sociable; antonym 'shy'."
"Select the correct verb form: 'He demanded that she ___ present.'","be","is","are","was","be","Subjunctive: 'demanded that she be present.'"
"Which sentence is correct?","She had scarcely left when it started raining.","She scarcely had left when it started raining.","Scarcely she had left when it started raining.","She had left scarcely when it started raining.","She had scarcely left when it started raining.","'Had scarcely' before past form is idiomatic for 'barely' or 'almost not'."
"Pick the synonym for 'obstinate'.","flexible","stubborn","compliant","yielding","stubborn","'Obstinate' means stubborn or unyielding."
"Choose the correct article: 'He is ___ only person who knows.'","a","an","the","no article","the","Use 'the' with unique definite reference: 'the only person'."
"Select the antonym of 'lucid' (figurative).","clear","confusing","transparent","bright","confusing","Figuratively 'lucid' means clear-minded; antonym 'confusing'."
"Pick the correct preposition: 'They arrived ___ time for the meeting.'","in","on","at","by","in","Arrive 'in time' means before the deadline; 'on time' means exactly at scheduled time (both can be correct depending on nuance)."
"Choose the correct tense: 'By the time she retires, she ___ employed for 40 years.'","will have been","will be","has been","had been","will have been","Future perfect continuous/perfect: 'will have been'."
"Which is the correct synonym for 'insidious'?","harmful in a subtle way","obvious","clear","blatant","harmful in a subtle way","'Insidious' means harmful but gradual and stealthy."
"Pick the antonym of 'latent'.","hidden","dormant","manifest","potential","manifest","'Latent' means hidden or dormant; antonym 'manifest' = evident."
"Select the correct article: 'She gave ___ honest answer.'","a","an","the","no article","an","'Honest' has silent 'h'; use 'an honest'."
"Choose the correct usage: 'Would you mind ___ the window?'","open","to open","opening","opened","opening","After 'would you mind' use gerund: 'opening'."
"Which is the correct plural: 'index' -> ____","indexes","indices","indexs","index","indices","Both 'indices' and 'indexes' are accepted; 'indices' is classical plural."
"Pick the synonym for 'magnanimous'.","petty","generous","stingy","venal","generous","'Magnanimous' means generous or noble in spirit."
"Choose the correct preposition: 'She is married ___ a doctor.'","to","with","by","in","to","'Married to' expresses the spouse."
"Which sentence is idiomatic?","He cut corners to finish early.","He cut time corners to finish early.","He corner cut to finish early.","He cut to corners finish early.","He cut corners to finish early.","'Cut corners' is idiom meaning do something badly or cheaply."
"Pick the antonym for 'pristine'.","immaculate","spoiled","pure","untouched","spoiled","'Pristine' means unspoiled; antonym 'spoiled' or 'tarnished'."
"Select the correct tense: 'I ___ him before.'","met","have met","had met","will have met","have met","Present perfect 'have met' indicates experience up to present."
"Choose the correct usage: 'She is apt ___ forget names.'","to","for","at","in","to","'Apt to' means likely to do something; collocation 'apt to forget'."
"Which preposition fits: 'Please refrain ___ smoking.'","from","of","in","for","from","'Refrain from' is the fixed phrase meaning avoid doing something."
"Pick the synonym for 'impeccable'.","faultless","flawed","imperfect","defective","faultless","'Impeccable' means without fault — faultless."
"Choose the antonym of 'oblivious'.","aware","ignorant","unconcerned","heedless","aware","'Oblivious' means unaware; antonym 'aware'."
"Select the correct article: 'This is ___ unique opportunity.'","a","an","the","no article","a","'Unique' starts with consonant 'y' sound; use 'a'."
"Pick the right preposition: 'She adhered ___ the guidelines.'","to","in","with","for","to","'Adhere to' means follow or stick to rules/guidelines."
"Choose the synonym for 'perfunctory'.","thorough","cursory","detailed","meticulous","cursory","'Perfunctory' means hasty and done without care — 'cursory'."
"Which is the correct tense: 'If you heat ice, it ___.'","melts","melt","melted","will melt","melts","General truth uses simple present: 'ice melts'."
"Pick the antonym of 'arduous' that best fits academic context.","challenging","easy","demanding","taxing","easy","In academic context 'arduous' = difficult; antonym 'easy'."
"Select the correct collocation: '___ a decision'","make","do","commit","agree","make","The collocation is 'make a decision'."
"Which sentence is grammatically correct?","The team are winning.","The team is winning.","The team were winning.","Team is winning.","The team is winning.","Collective noun 'team' treated as singular in American English: 'is winning'."
"Pick the synonym for 'ephemeral' in literary context.","lasting","short-lived","permanent","eternal","short-lived","'Ephemeral' = short-lived; common synonym in literature is 'short-lived'."
"Choose the correct preposition: 'He specialized ___ ancient history.'","in","on","at","for","in","'Specialized in' is the right collocation."
"Select the correct usage: 'It is imperative that she ___ present.'","is","be","was","are","be","Subjunctive 'be' after 'imperative that'."
"Pick the antonym for 'vague'.","ambiguous","clear","uncertain","obscure","clear","'Vague' opposite is 'clear' or 'specific'."
"Which is the correct plural: 'bacterium' -> ____","bacteriums","bacteria","bacteriae","bacterium","bacteria","Plural of 'bacterium' is 'bacteria'."
"Choose the correct tense: 'He ___ in the garden every evening.'","works","worked","works","works","works","Habitual action uses simple present: 'works' (or 'waters' etc. depending on verb)."
"Pick the synonym for 'benevolent' in a social context.","cruel","charitable","rude","harsh","charitable","'Benevolent' = charitable and kind; 'charitable' fits social context."
"Select the right preposition: 'The meeting is scheduled ___ Monday.'","on","at","in","by","on","Days use 'on': 'on Monday'."
"Which sentence uses proper conditional?","If I had money, I will travel.","If I had money, I would travel.","If I have money, I would travel.","If I had money, I travel.","If I had money, I would travel.","Second conditional: 'If I had money, I would travel.'"
"Pick the antonym for 'pragmatic'.","practical","idealistic","realistic","down-to-earth","idealistic","'Pragmatic' = practical; antonym 'idealistic'."
"Choose the correct article: 'She was elected ___ president.'","a","an","the","no article","the","Use 'the' for unique role in context: 'the president' if definite."
"Select the synonym for 'dilatory'.","punctual","delaying","timely","prompt","delaying","'Dilatory' means slow to act; 'delaying' captures the meaning."
"Which preposition completes: 'He was indifferent ___ the result.'","to","about","of","for","to","'Indifferent to' something expresses lack of interest."
"Pick the correct tense: 'They ___ each other for five years.'","have known","know","knew","had known","have known","'Have known' indicates continuing relationship from past to present."
"Choose the antonym for 'lucid' (mental state).","clear-minded","confused","bright","coherent","confused","In mental state, 'lucid' opposite is 'confused'."
"Select the correct usage: 'She had no choice but ___ accept.'","to","accepting","accept","accepted","to","'No choice but to' + infinitive: 'but to accept'."
"Which is the correct preposition: 'This device is compatible ___ multiple platforms.'","with","to","in","on","with","'Compatible with' is the collocation."
"Pick the synonym for 'gregarious' that best suits social research.","sociable","solitary","reclusive","introverted","sociable","'Gregarious' = sociable; 'sociable' fits social research context."
"Choose the correct article: 'It remained ___ enigma for years.'","an","a","the","no article","an","'Enigma' begins with vowel sound 'e', so 'an' is correct."
"Select the correct tense: 'By the time I arrive, they ___ dinner.'","finish","will finish","will have finished","have finished","will have finished","'Will have finished' shows completion before the future point."
"Pick the antonym of 'malleable'.","flexible","hard","pliant","rigid","rigid","'Malleable' means easily shaped; antonym 'rigid' resists change/conformation."
"Which preposition completes: 'He is proficient ___ statistics.'","in","at","on","for","in","'Proficient in' a subject is standard."
"Choose the synonym for 'pensive'.","thoughtful","carefree","frivolous","lighthearted","thoughtful","'Pensive' means deeply or seriously thoughtful."
"Select the correct plural: 'matrix' -> ____","matrixes","matrices","matrixi","matrix","matrices","'Matrix' plural is 'matrices'."
"Pick the antonym for 'conspicuous'.","noticeable","obvious","hidden","prominent","hidden","'Conspicuous' = easily seen; antonym 'hidden' or 'inconspicuous'."
"Which article is correct: 'It is ___ honor to serve.'","an","a","the","no article","an","'Honor' has silent 'h' and vowel sound 'on-', so use 'an'."
"Choose the correct usage: 'She abstained ___ voting.'","from","of","in","on","from","'Abstain from' is the correct collocation meaning refrain from."
"Pick the synonym for 'ubiquitous' in modern tech context.","rare","everywhere","absent","scarce","everywhere","'Ubiquitous' means present everywhere — 'everywhere'."
"Select the antonym for 'meticulous'.","precise","careless","exact","thorough","careless","'Meticulous' = very careful; antonym 'careless'."
"Which preposition is right: 'The book comprises chapters ___ different topics.'","on","of","about","with","on","'On' or 'about' can be used; 'on different topics' is common."
"Choose the correct tense: 'She ___ the novel by the end of the week.'","reads","will read","will have read","read","will have read","Future perfect 'will have read' indicates completion before the future time."
"Pick the correct antonym for 'serene'.","calm","agitated","tranquil","placid","agitated","'Serene' = calm; antonym 'agitated' = disturbed."
"Select the synonym for 'capricious'.","steady","fickle","constant","stable","fickle","'Capricious' means unpredictable or fickle."
"Which sentence is grammatical?","There is many reasons.","There are many reasons.","There is a many reasons.","There many are reasons.","There are many reasons.","Plural noun 'reasons' requires 'are'."
"Choose the correct preposition: 'She intervened ___ the argument.'","in","into","between","among","in","'Intervene in' the argument is standard usage."
"Pick the antonym for 'garrulous'.","talkative","quiet","loquacious","chatty","quiet","'Garrulous' = very talkative; antonym 'quiet'."
"Select the right tense: 'I ___ this novel before.'","read","have read","had read","reads","have read","Experience up to now uses 'have read'."
"Which article is correct: 'He received ___ MBA last year.'","a","an","the","no article","an","Initialism 'MBA' pronounced 'em-bee-ay' begins with vowel sound, so 'an MBA'."
"Choose the synonym for 'prolific' in literary sense.","unproductive","productive","rare","sterile","productive","'Prolific' = productive, producing much."
"Pick the antonym for 'ardent' in an academic context.","passionate","halfhearted","zealous","fervent","halfhearted","'Ardent' = passionate; antonym 'halfhearted'."
"Select the correct preposition: 'He abstained ___ alcohol.'","from","on","of","about","from","'Abstain from' is correct collocation."
"Which sentence is best: 'I would rather you ___ earlier.'","came","come","had come","came","had come","'Would rather (that) you had come' uses past perfect for past preference -> 'had come.'"
"Pick the synonym for 'sagacious'.","wise","foolish","naive","brash","wise","'Sagacious' means wise or shrewd."
"Choose the correct plural: 'formula' -> ____","formulas","formulae","formuli","formula","formulae","Both 'formulas' and 'formulae' are acceptable; 'formulae' is classical plural."
